Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
31-March-2014,1466,1474.8,1448.9,1460.45,1458.2473950365,179753,8474,262124344,25594,14.24,25.9,-5.55,925
28-March-2014,1431.3,1469.65,1431,1461.15,1452.7433455294,210723,9555,306126436,40353,19.15,38.65,29.85,926
27-March-2014,1433.3,1468.3,1410,1430.2,1443.4377457798,300574,15511,433859857,72684,24.18,58.3,-3.1,927
26-March-2014,1415,1437.95,1405.9,1430.2,1423.2124539108,206393,8343,293741088,55721,27,32.05,15.2,928
25-March-2014,1415,1420.35,1395,1400.8,1407.2587908252,159001,6618,223755555,37585,23.64,25.35,-14.2,929
24-March-2014,1404,1424.8,1395.2,1410.9,1412.9099883277,281008,16855,397039010,67764,24.11,29.6,6.9,930
22-March-2014,1394.85,1397,1379.3,1389.7,1388.587061652,36187,2287,50248800,2451,6.77,17.7,-5.15,931
21-March-2014,1335,1410.6,1313.25,1393.4,1321.9796187127,52682639,146049,69645375018,42436130,80.55,97.35,58.4,932
20-March-2014,1367.7,1383.5,1345.95,1356.85,1364.744274207,240840,11277,328685011,62021,25.75,37.55,-10.85,933
19-March-2014,1354,1395.8,1351.55,1386.15,1379.265238258,225239,11440,310664323,30489,13.54,44.25,32.15,934
18-March-2014,1360,1382.1,1341,1348.65,1362.9459070091,139519,7211,190156850,23276,16.68,41.1,-11.35,935
14-March-2014,1371,1371,1333.1,1356,1349.7283756754,167485,8437,226059257,12343,7.37,37.9,-15,936
13-March-2014,1406,1425,1375,1380.8,1403.2678971577,186538,9276,261762787,38854,20.83,50,-25.2,937
12-March-2014,1410,1424.85,1391.75,1398.05,1405.3859501918,197839,9151,278040151,26804,13.55,33.1,-11.95,938
11-March-2014,1422,1451.95,1413.3,1418.45,1431.9933308476,354018,16812,506951415,61762,17.45,38.65,-3.55,939
10-March-2014,1392.1,1442.1,1391,1426.8,1423.2107541675,242771,12373,345514298,48788,20.1,51.1,34.7,940
7-March-2014,1326,1423.85,1326,1406.9,1391.6648141656,464957,22696,647064297,116959,25.15,97.85,80.9,941
6-March-2014,1307,1332.9,1307,1328.3,1322.1978399693,171942,7465,227341341,34012,19.78,25.9,21.3,942
5-March-2014,1296,1312.9,1294,1306.75,1304.6241783621,180128,8773,234999344,37851,21.01,18.9,10.75,943
4-March-2014,1259,1304.7,1255.9,1295.05,1289.9955176007,244735,11490,315707053,63385,25.9,48.8,36.05,944
3-March-2014,1260,1284.25,1247.3,1253.8,1264.921675198,154919,7946,195960401,13360,8.62,36.95,-6.2,945
28-February-2014,1239,1269,1237.2,1265.9,1259.2013510342,153364,7412,193116156,30186,19.68,31.8,26.9,946
26-February-2014,1238,1244.7,1228.1,1236.2,1236.6198158502,126636,5386,156600587,14150,11.17,16.6,-1.8,947
25-February-2014,1237.5,1250,1225.3,1235.15,1237.8526856823,196505,8757,243244242,13748,7,24.7,-2.35,948
24-February-2014,1187.8,1243,1183.4,1235.5,1224.6905951014,313560,12089,384013983,58598,18.69,59.6,47.7,949
21-February-2014,1161,1194.5,1161,1189.75,1183.273789626,213591,8508,252736632,72695,34.03,33.5,28.75,950
