Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
13-March-2014,563.9,574.4,550.6,563.4,564.1118892298,193915,6306,109389757,36688,18.92,23.8,-0.5,937
12-March-2014,560.25,570,559.7,566.35,566.6102090372,94720,2979,53669319,30518,32.22,10.3,6.1,938
11-March-2014,558.7,566.5,553.9,559.9,560.8206604531,122098,3979,68475081,42581,34.87,12.6,1.2,939
10-March-2014,564.9,571.45,555.4,557.4,562.4275938799,119541,3996,67233157,39018,32.64,16.05,-7.5,940
7-March-2014,586.7,590,560,565.55,567.1366554115,194577,6352,110351749,64363,33.08,30,-21.15,941
6-March-2014,590.85,594.2,583.5,584.55,587.8015747459,54993,1739,32324972,14409,26.2,10.7,-6.3,942
5-March-2014,591.2,596,587.05,589.6,592.6714784633,64425,2150,38182860,14213,22.06,8.95,-1.6,943
4-March-2014,585.1,594.8,585.1,589.15,589.9707830641,127563,5656,75258443,54998,43.11,9.7,4.05,944
3-March-2014,595,599.9,583.85,585.65,590.315077926,87134,2983,51436514,21733,24.94,16.05,-9.35,945
28-February-2014,603.8,604.95,589.75,596.75,596.4350186536,107754,3252,64268259,23322,21.64,15.2,-7.05,946
26-February-2014,595.2,610.5,594.1,603.35,603.7304216621,183583,7391,110834642,52137,28.4,16.4,8.15,947
25-February-2014,579.5,596.8,579.5,595.15,589.5006298441,161151,5364,94998616,40084,24.87,17.3,15.65,948
24-February-2014,574.75,581.7,570.05,578.1,577.0603527326,130864,6055,75516426,61934,47.33,11.65,3.35,949
21-February-2014,567.5,574.75,566.1,571.8,571.4913667965,78534,2741,44881503,17562,22.36,8.65,4.3,950
20-February-2014,564,570.25,561.15,565.6,565.6508509082,359557,5023,203383723,284923,79.24,9.1,1.6,951
19-February-2014,559,568,557.2,564.55,561.8656118839,87917,3334,49397539,36015,40.96,10.8,5.55,952
18-February-2014,562.7,564.8,555,557.05,560.1751835698,563546,2247,315684484,526548,93.43,9.8,-5.65,953
17-February-2014,566,569.45,557.3,560.85,561.6716822337,80084,3002,44980915,29227,36.5,12.15,-5.15,954
14-February-2014,562.5,566.4,553.05,564,559.2393694225,69587,2365,38915790,12230,17.58,13.35,1.5,955
13-February-2014,563,566.1,550.45,555.65,555.3375414938,96400,5172,53534539,36982,38.36,15.65,-7.35,956
12-February-2014,565,571,558,562.15,563.6016399579,114881,4464,64747120,43935,38.24,13,-2.85,957
11-February-2014,563.8,571,560.35,562.9,564.1642006266,172679,3500,97419310,99759,57.77,10.65,-0.9,958
10-February-2014,564.4,569.5,561.2,563.05,565.2643814027,35532,1408,20084974,12460,35.07,8.3,-1.35,959
7-February-2014,569,573.45,557,560.95,565.2366789727,86949,3027,49146764,19482,22.41,16.45,-8.05,960
6-February-2014,563,571.2,555.15,568.35,565.4303082891,97960,3508,55389553,28202,28.79,16.05,5.35,961
5-February-2014,559,565,551.35,559.8,559.880757889,59006,1968,33036324,16701,28.3,13.65,0.8,962
4-February-2014,560.2,560.2,544.35,555.9,552.3635027059,95903,3431,52973317,23096,24.08,15.85,-4.3,963
3-February-2014,574,574,562.55,565.95,570.0795715105,55824,1913,31824122,24808,44.44,11.45,-8.05,964
31-January-2014,571.3,579,570,574.95,575.3034262576,64210,2361,36940233,11154,17.37,9,3.65,965
30-January-2014,570.6,575,561.55,571.85,569.2112631496,63215,2768,35982690,13626,21.56,13.45,1.25,966
29-January-2014,568,575.9,566.1,571.8,572.4041121721,66291,2935,37945241,16483,24.86,9.8,3.8,967
28-January-2014,567,574,564.3,568,568.0642524154,59204,2161,33631676,8598,14.52,9.7,1,968
27-January-2014,571,578.9,565,570.8,572.7280940538,110575,3594,63329409,27841,25.18,13.9,-0.2,969
24-January-2014,576,586.65,570.6,573.2,580.464521329,133996,5352,77779924,19057,14.22,16.05,-2.8,970
23-January-2014,577.4,579.95,565,578.4,572.442652691,109142,4550,62477536,27051,24.79,14.95,1,971
22-January-2014,572,582,567,577.45,576.7266175881,154582,5831,89151554,41170,26.63,15,5.45,972
21-January-2014,573.3,577.75,568.8,571.5,573.2179054318,127950,4041,73343231,22711,17.75,8.95,-1.8,973
20-January-2014,552.6,577.75,552.6,573.3,569.8131075906,366612,11747,208900323,58495,15.96,25.15,20.7,974
17-January-2014,574.9,575.35,549.5,552.45,558.8361557212,294963,9444,164835989,76746,26.02,25.85,-22.45,975
16-January-2014,561,572.9,557,570.4,566.1463361698,156653,4904,88688522,40120,25.61,15.9,9.4,976
15-January-2014,555,563.45,552.2,560.1,558.0094237544,79480,3309,44350589,19848,24.97,11.25,5.1,977
14-January-2014,562.5,563,550,552.7,554.156401145,101310,2913,56141585,29171,28.79,13,-9.8,978
13-January-2014,555,567.45,555,561.45,561.4977076171,324335,5782,182113359,198002,61.05,12.45,6.45,979
10-January-2014,543.1,556.65,532,554.55,550.3593036413,293412,9180,161482024,79950,27.25,24.65,11.45,980
9-January-2014,547,553.05,537.3,540.75,544.0426597337,119621,4571,65078927,32097,26.83,15.75,-6.25,981
8-January-2014,550.2,551.2,544,546.3,547.1124668014,126135,6685,69010031,37808,29.97,7.2,-3.9,982
7-January-2014,558.7,558.7,546.75,549.95,551.3604478134,100131,5261,55208273,31621,31.58,11.95,-8.75,983
6-January-2014,558.4,564.4,555.05,558.05,559.2172607229,178799,5503,99987487,73598,41.16,9.35,-0.35,984
3-January-2014,550.4,558.95,547.5,557.15,554.9182601698,94446,3210,52409810,17235,18.25,11.45,6.75,985
2-January-2014,553,556.7,546,552.9,552.4394048837,99678,2533,55066055,30425,30.52,10.7,-0.1,986
1-January-2014,561.8,562.1,550.9,552.75,555.348370525,68519,2340,38051915,16379,23.9,11.2,-9.05,987
