Date,Price,Open,High,Low,Vol.,Change %
"Jul 05, 2017",1113.6,1120,1124,1110.95,223.08K,-0.51
"Jul 04, 2017",1119.35,1128,1132.85,1112,205.13K,-1.24
"Jul 03, 2017",1133.4,1116,1138.9,1115,220.50K,2.03
"Jun 30, 2017",1110.85,1088.5,1114.7,1080,282.46K,2.18
"Jun 29, 2017",1087.15,1094,1097.65,1082.05,257.24K,-0.12
"Jun 28, 2017",1088.45,1097.45,1097.45,1071,433.22K,-0.49
"Jun 27, 2017",1093.8,1101,1113.05,1086.5,218.40K,-1.57
"Jun 23, 2017",1111.3,1109,1123.7,1103.8,488.52K,0.74
"Jun 22, 2017",1103.1,1106.7,1110,1096,310.48K,0.1
"Jun 21, 2017",1101.95,1081,1109,1074,226.13K,1.87
"Jun 20, 2017",1081.75,1107,1107,1078.55,179.12K,-1.57
"Jun 19, 2017",1098.95,1104.85,1109.9,1091.6,485.80K,0.38
"Jun 16, 2017",1094.75,1081.9,1101,1070.9,458.59K,1.48
"Jun 15, 2017",1078.75,1069.5,1081.95,1069.5,361.19K,0.55
"Jun 14, 2017",1072.9,1076.9,1076.9,1069,138.61K,0.24
"Jun 13, 2017",1070.3,1081.05,1084,1066.7,165.47K,-0.99
"Jun 12, 2017",1081.05,1074.8,1087,1065.65,222.75K,0.45
"Jun 09, 2017",1076.25,1067.3,1081.6,1066.5,157.59K,-0.01
"Jun 08, 2017",1076.35,1067,1084.9,1063,516.56K,0.96
"Jun 07, 2017",1066.1,1030.05,1069.1,1028.6,739.71K,3.8
"Jun 06, 2017",1027.05,1022,1033.55,1009.15,183.35K,0.62
"Jun 05, 2017",1020.75,1026.9,1036.05,1018.35,179.84K,-0.51
"Jun 02, 2017",1025.95,1044,1045,1022,388.16K,-1
"Jun 01, 2017",1036.3,1015.7,1049.85,1013.25,481.80K,2.14
"May 31, 2017",1014.55,1011.95,1019.5,1009.7,106.17K,0.21
"May 30, 2017",1012.45,1018.55,1030,1010,125.77K,-0.69
"May 29, 2017",1019.5,1001,1029.5,996.6,253.82K,1.89
"May 26, 2017",1000.6,988.2,1004.35,980.35,129.61K,2.1
"May 25, 2017",980.05,997,999,975.05,277.42K,-1
"May 24, 2017",989.9,988.75,1010.3,983.9,342.06K,0.28
