Date,Price,Open,High,Low,Vol.,Change %
"Apr 12, 2016",262.8,254.85,263.6,254.75,1.15M,3.71
"Apr 11, 2016",253.4,250,254.4,248.15,468.79K,1.34
"Apr 08, 2016",250.05,247.55,251.9,246.45,652.31K,0.95
"Apr 07, 2016",247.7,248,249.4,246,847.87K,-0.04
"Apr 06, 2016",247.8,245.6,248.5,245.1,1.39M,0.73
"Apr 05, 2016",246,249,250.05,244.95,628.03K,-1.42
"Apr 04, 2016",249.55,250.5,252.75,247.5,343.18K,-0.38
"Apr 01, 2016",250.5,248.05,251.35,247.3,682.60K,0.24
"Mar 31, 2016",249.9,247.05,251.8,246.4,2.03M,1.28
"Mar 30, 2016",246.75,245.85,249.55,245.8,2.08M,0.67
"Mar 29, 2016",245.1,243.55,245.8,242.75,614.58K,0.64
"Mar 28, 2016",243.55,249.95,249.95,242,1.26M,-2.17
"Mar 23, 2016",248.95,247.2,250.55,247.2,519.79K,-0.28
"Mar 22, 2016",249.65,252.2,255.8,247.65,1.50M,-1.36
"Mar 21, 2016",253.1,251,253.9,250,612.91K,1.4
"Mar 18, 2016",249.6,249,250.9,245.6,1.03M,0.67
"Mar 17, 2016",247.95,247.8,250,246.3,1.02M,0.28
"Mar 16, 2016",247.25,245.8,249.8,244.15,2.57M,-0.06
"Mar 15, 2016",247.4,253.7,253.7,245.85,1.91M,-1.45
"Mar 14, 2016",251.05,252.3,254.5,249.5,1.26M,0.48
"Mar 11, 2016",249.85,246,251,244.1,781.60K,1.59
"Mar 10, 2016",245.95,246,247.9,244.1,823.43K,0.04
"Mar 09, 2016",245.85,246.8,247,241.4,1.95M,-1.11
"Mar 08, 2016",248.6,248,251.3,245.95,814.44K,-0.38
"Mar 04, 2016",249.55,242.55,253,242.55,863.63K,1.82
"Mar 03, 2016",245.1,244.75,246.65,241.1,2.38M,0.64
"Mar 02, 2016",243.55,243,246.8,242.1,2.68M,0.66
"Mar 01, 2016",241.95,237.15,243.4,237,1.85M,2.02
"Feb 29, 2016",237.15,242.8,242.8,235,1.24M,-1.72
"Feb 26, 2016",241.3,241.15,242.7,238,649.72K,1.13
"Feb 25, 2016",238.6,237.45,241.7,233.5,1.27M,0.95
"Feb 24, 2016",236.35,239.95,240.8,234.25,793.06K,-1.07
"Feb 23, 2016",238.9,250,250.9,237.1,938.84K,-3.9
"Feb 22, 2016",248.6,244.4,249.7,243.05,704.51K,1.72
"Feb 19, 2016",244.4,243.95,245.2,240.8,641.45K,0.27
"Feb 18, 2016",243.75,243.9,245.45,242.2,625.39K,0.95
"Feb 17, 2016",241.45,243.35,243.9,239,708.90K,-1.49
"Feb 16, 2016",245.1,247.15,252.4,242.05,903.44K,-1.53
"Feb 15, 2016",248.9,247.8,251.7,241.1,587.21K,0.44
"Feb 12, 2016",247.8,241.3,249.35,238,1.77M,3.62
"Feb 11, 2016",239.15,243.5,245.9,237,814.83K,-1.54
"Feb 10, 2016",242.9,249,249.5,240.6,2.02M,-2.55
"Feb 09, 2016",249.25,250,251.45,247.7,562.65K,-0.68
"Feb 08, 2016",250.95,250.2,253.25,249.35,1.36M,-0.14
"Feb 05, 2016",251.3,246.2,252,246.1,570.37K,1.64
"Feb 04, 2016",247.25,245.5,248.4,244.9,933.21K,1.56
"Feb 03, 2016",243.45,240.35,247.75,238.45,1.84M,0.95
"Feb 02, 2016",241.15,250.95,252.4,239.5,1.14M,-3.94
"Feb 01, 2016",251.05,250.9,252.5,248.05,1.16M,0.16
"Jan 29, 2016",250.65,245.8,252.65,243.15,1.98M,2.94
"Jan 28, 2016",243.5,236,245,236,2.28M,2.81
"Jan 27, 2016",236.85,236,237.7,231.5,2.99M,-0.17
"Jan 25, 2016",237.25,242,242.45,236.35,1.29M,-1.54
"Jan 22, 2016",240.95,241.3,245.1,239,1.10M,0.23
"Jan 21, 2016",240.4,249.5,251.5,238.95,1.60M,-3.55
"Jan 20, 2016",249.25,248,251.9,247.4,948.03K,-0.12
"Jan 19, 2016",249.55,247.3,254,246.5,852.04K,0.91
"Jan 18, 2016",247.3,249.5,252,245,813.64K,-1.2
"Jan 15, 2016",250.3,258.6,261.3,249.5,390.42K,-3.66
"Jan 14, 2016",259.8,255.8,261.8,252.2,1.14M,1.15
"Jan 13, 2016",256.85,255.85,257.9,249,1.27M,0.77
"Jan 12, 2016",254.9,264,264,253.2,1.52M,-3.12
"Jan 11, 2016",263.1,267,267.55,261.65,1.26M,-2.21
"Jan 08, 2016",269.05,268.75,271.9,268,579.21K,0.5
"Jan 07, 2016",267.7,275,275,265.95,910.96K,-2.97
"Jan 06, 2016",275.9,276.3,280.9,274.3,750.28K,-0.02
"Jan 05, 2016",275.95,276.9,279.5,273.9,629.24K,-0.34
"Jan 04, 2016",276.9,276.25,281,275.5,554.11K,0.18
"Jan 01, 2016",276.4,276.45,278.9,275.75,124.37K,-0.2
"Dec 31, 2015",276.95,273.3,277.5,273.3,717.61K,0.71
"Dec 30, 2015",275,276,277.6,274.1,367.88K,-0.83
"Dec 29, 2015",277.3,277.9,278.4,276.5,275.16K,0.04
"Dec 28, 2015",277.2,277.8,278.5,275.7,608.32K,0.18
"Dec 24, 2015",276.7,279,279,275.5,263.39K,-0.98
"Dec 23, 2015",279.45,278.9,280,276.2,761.91K,0.49
"Dec 22, 2015",278.1,278.5,279.25,275.3,717.39K,0.23
"Dec 21, 2015",277.45,275.5,279,272.5,965.81K,1.26
"Dec 18, 2015",274,275,278.4,272.75,1.23M,-0.54
"Dec 17, 2015",275.5,271,276,267.75,889.84K,2.15
"Dec 16, 2015",269.7,273.35,273.35,265.5,1.06M,-1.05
"Dec 15, 2015",272.55,265.75,273.4,265.3,616.03K,2.5
"Dec 14, 2015",265.9,265,267.95,261.9,1.24M,-0.78
"Dec 11, 2015",268,271.5,271.5,266.5,839.88K,-0.54
"Dec 10, 2015",269.45,272.2,272.8,266.05,1.07M,-0.17
"Dec 09, 2015",269.9,274.8,275.8,268.8,992.37K,-1.89
"Dec 08, 2015",275.1,275.3,278.5,272.05,1.21M,-0.42
"Dec 07, 2015",276.25,273.95,278.85,271,855.57K,1.67
"Dec 04, 2015",271.7,269.85,273.3,268.25,1.51M,-1.86
"Dec 03, 2015",276.85,283.75,283.85,276.2,884.19K,-2.48
"Dec 02, 2015",283.9,279.9,284.5,276.95,800.98K,1.94
"Dec 01, 2015",278.5,275.05,279.65,274.15,872.62K,2.18
"Nov 30, 2015",272.55,276.3,277.45,271.6,2.12M,-1.14
"Nov 27, 2015",275.7,281,281.35,274.9,811.98K,-1.47
"Nov 26, 2015",279.8,275.9,280.75,274.9,646.17K,1.67
"Nov 24, 2015",275.2,274.95,277.95,274.05,568.04K,0.15
"Nov 23, 2015",274.8,274.25,278.9,273.55,646.54K,-0.4
"Nov 20, 2015",275.9,275,278,274.35,1.68M,0.69
"Nov 19, 2015",274,270.2,274.5,270.2,1.22M,1.84
"Nov 18, 2015",269.05,264.35,270,264.2,979.00K,1.89
"Nov 17, 2015",264.05,261.65,266,260.65,2.12M,1.21
"Nov 16, 2015",260.9,267.95,268,260.1,2.00M,-2.49
"Nov 13, 2015",267.55,266.6,268.55,262.5,1.16M,0.3
"Nov 11, 2015",266.75,265.05,269.25,265.05,111.10K,0.79
"Nov 10, 2015",264.65,267.75,267.75,262.5,756.44K,-0.75
"Nov 09, 2015",266.65,260.05,269.25,260.05,2.26M,-0.37
"Nov 06, 2015",267.65,263.55,268.45,263.55,894.42K,0.53
"Nov 05, 2015",266.25,269.6,270.85,264.3,2.01M,-1.41
"Nov 04, 2015",270.05,270,271.1,268.1,707.66K,-0.06
"Nov 03, 2015",270.2,272.65,272.65,269,657.61K,-0.24
"Nov 02, 2015",270.85,269.75,271.2,265.15,1.52M,0.41
"Oct 30, 2015",269.75,272.5,273.35,268.35,1.92M,-0.99
"Oct 29, 2015",272.45,273.3,274.7,271,1.60M,0.18
"Oct 28, 2015",271.95,272.7,273.3,268.75,3.33M,0.35
"Oct 27, 2015",271,266.9,271.3,265.1,2.28M,1.61
