Date,Price,Open,High,Low,Vol.,Change %
"Sep 07, 2016",3488.95,3402,3503.5,3402,199.58K,0.92
"Sep 06, 2016",3457.1,3375,3464,3344.35,175.36K,3.04
"Sep 02, 2016",3354.95,3401,3436.95,3342,145.66K,-1.6
"Sep 01, 2016",3409.35,3466,3466,3400.2,88.73K,-1.48
"Aug 31, 2016",3460.55,3442.2,3485.95,3420,144.80K,0.5
"Aug 30, 2016",3443.2,3410,3472,3410,74.61K,1.08
"Aug 29, 2016",3406.35,3406,3449,3390,73.92K,-0.91
"Aug 26, 2016",3437.7,3484.7,3484.7,3392.05,143.91K,-0.77
"Aug 25, 2016",3464.3,3447,3499,3443.15,371.34K,0.91
"Aug 24, 2016",3432.95,3369,3484,3340,341.85K,2.13
"Aug 23, 2016",3361.35,3368,3378,3340,74.20K,-0.23
"Aug 22, 2016",3369.25,3350,3392.9,3344.25,160.04K,0.56
"Aug 19, 2016",3350.45,3330,3370,3316.5,121.62K,0.63
"Aug 18, 2016",3329.55,3340,3370,3305.05,152.40K,-0.21
"Aug 17, 2016",3336.7,3265,3358.25,3265,262.31K,1.98
"Aug 16, 2016",3272.05,3298.1,3340,3250,169.09K,-0.4
"Aug 12, 2016",3285.1,3229.9,3315,3188.45,357.03K,1.49
"Aug 11, 2016",3236.9,3120,3277,3114.8,763.25K,4.3
"Aug 10, 2016",3103.35,3129,3131.65,3060.2,170.82K,-0.8
"Aug 09, 2016",3128.45,3150,3172,3088.2,396.30K,-0.75
"Aug 08, 2016",3152.15,2883.9,3317.25,2880.1,1.58M,9.28
"Aug 05, 2016",2884.6,2880,2900.8,2848.95,123.03K,0.13
"Aug 04, 2016",2880.85,2850,2893,2811.95,197.73K,1.78
"Aug 03, 2016",2830.45,2898,2898,2820.05,181.86K,-1.74
"Aug 02, 2016",2880.7,2907,2912,2871.7,92.73K,-0.05
"Aug 01, 2016",2882.2,2947.9,2993.9,2851,171.34K,-1.76
"Jul 29, 2016",2933.8,2844,2944.2,2843.1,215.67K,2.39
"Jul 28, 2016",2865.3,2815,2894,2810.2,244.07K,1.87
"Jul 27, 2016",2812.8,2848,2848,2795,105.20K,-0.39
"Jul 26, 2016",2823.8,2850.4,2856.6,2811,142.85K,-0.93
"Jul 25, 2016",2850.4,2850,2873.7,2830.3,119.47K,-0.02
"Jul 22, 2016",2850.9,2816,2855.95,2808,179.57K,1.28
"Jul 21, 2016",2814.75,2814.8,2840,2790,145.94K,0.19
"Jul 20, 2016",2809.45,2774.9,2818,2760,88.79K,1.79
"Jul 19, 2016",2760.05,2820.2,2827.95,2753.35,231.27K,-2
"Jul 18, 2016",2816.3,2837.05,2848.7,2808.95,96.59K,-0.15
"Jul 15, 2016",2820.6,2860,2876.65,2811.2,100.77K,-1.37
"Jul 14, 2016",2859.75,2890,2893,2854.95,131.59K,-0.27
"Jul 13, 2016",2867.6,2868,2885.8,2829.9,129.36K,0.36
"Jul 12, 2016",2857.2,2874,2908.55,2843.75,174.49K,-0.07
"Jul 11, 2016",2859.25,2818,2868.45,2817.6,178.79K,1.93
"Jul 08, 2016",2805.05,2809.15,2836,2792.4,95.70K,-0.15
"Jul 07, 2016",2809.15,2830,2840,2802,126.51K,-0.96
"Jul 05, 2016",2836.25,2835,2860,2810,75.55K,-0.16
"Jul 04, 2016",2840.9,2838,2850,2816.35,146.97K,1.16
"Jul 01, 2016",2808.3,2753.75,2817.1,2751.55,216.92K,1.79
