Date,Price,Open,High,Low,Vol.,Change %
"Mar 17, 2016",646.67,645,649,636.52,391.78K,1.14
"Mar 16, 2016",639.4,630.5,646.42,626.55,956.12K,1.36
"Mar 15, 2016",630.8,645,650,623.95,382.34K,-2.58
"Mar 14, 2016",647.5,657.9,660,643.38,2.21M,-0.42
"Mar 11, 2016",650.2,624.5,652.5,624.5,558.60K,4.05
"Mar 10, 2016",624.88,628.98,629.45,617.5,95.63K,-0.71
"Mar 09, 2016",629.38,624,631.2,616.83,351.95K,0.4
"Mar 08, 2016",626.85,627,639.73,622.33,923.29K,0.32
"Mar 04, 2016",624.83,624.35,627.25,620.98,514.84K,0.49
"Mar 03, 2016",621.77,630.95,633.2,616.75,361.46K,-1.35
"Mar 02, 2016",630.25,631.08,639.5,620.98,441.82K,0.93
"Mar 01, 2016",624.45,597.5,632,596,965.31K,5.1
"Feb 29, 2016",594.17,600,600,581.8,446.93K,-0.94
"Feb 26, 2016",599.8,590.5,600.98,587.25,170.52K,1.86
"Feb 25, 2016",588.85,587.73,602.5,577.83,554.57K,0.19
"Feb 24, 2016",587.73,599.5,600,580.52,265.91K,-2.03
"Feb 23, 2016",599.92,604,615,592.55,197.83K,-1.08
"Feb 22, 2016",606.45,599.05,609.7,599.05,238.84K,1.09
"Feb 19, 2016",599.92,609,611.9,589,191.61K,-0.64
"Feb 18, 2016",603.8,597,607.2,590.95,263.26K,2.49
"Feb 17, 2016",589.15,598,599.2,578.5,250.81K,-1.52
"Feb 16, 2016",598.25,617,622.4,595,242.06K,-3.99
"Feb 15, 2016",623.08,614.7,629.75,602.62,440.07K,3.05
"Feb 12, 2016",604.65,595.45,611,569.5,253.64K,1.88
"Feb 11, 2016",593.5,601.5,611.45,579,263.15K,-2.28
"Feb 10, 2016",607.35,618,624.52,603.73,674.37K,-1.74
"Feb 09, 2016",618.08,629.95,629.95,612,182.98K,-0.77
"Feb 08, 2016",622.85,623.62,631.77,618.5,142.76K,-0.02
"Feb 05, 2016",622.95,623.62,625.02,618,204.55K,0.47
"Feb 04, 2016",620.02,630,634,616.05,223.24K,0.51
"Feb 03, 2016",616.9,615.15,626.9,606.42,621.52K,-0.28
"Feb 02, 2016",618.62,632.25,636.62,611.02,1.17M,-2.02
"Feb 01, 2016",631.4,617.5,638.4,611.12,701.69K,3.09
"Jan 29, 2016",612.48,587.4,613.83,587.4,1.74M,4.57
"Jan 28, 2016",585.73,576.95,591.05,571.08,1.27M,2.15
"Jan 27, 2016",573.4,580,587.5,559.4,1.34M,-0.26
"Jan 25, 2016",574.9,566,585.02,566,516.23K,1.71
"Jan 22, 2016",565.25,572.5,576.35,561.25,627.65K,0.13
"Jan 21, 2016",564.5,597.55,600.95,562.35,650.85K,-4.95
"Jan 20, 2016",593.9,600,603,590,429.24K,-1.66
"Jan 19, 2016",603.92,606.25,614.25,595.55,308.90K,-0.23
"Jan 18, 2016",605.3,620.3,629.2,600,289.97K,-2.41
"Jan 15, 2016",620.25,642,649.02,615.27,381.45K,-3.3
"Jan 14, 2016",641.4,632.95,646.5,626,604.35K,0.85
"Jan 13, 2016",636.02,637.5,642,620.5,236.49K,0.22
"Jan 12, 2016",634.62,624,641.62,617.5,485.60K,3.09
"Jan 11, 2016",615.62,622.15,627,614.98,524.58K,-1.05
"Jan 08, 2016",622.15,632,641.2,616.5,390.40K,-1.32
"Jan 07, 2016",630.45,652.5,654,619.52,416.31K,-3.47
"Jan 06, 2016",653.08,665,668.5,647.5,256.40K,-0.74
"Jan 05, 2016",657.95,664.85,666.95,654.77,435.04K,-1.04
"Jan 04, 2016",664.88,663.8,675,662.8,223.59K,-0.92
"Jan 01, 2016",671.02,663.98,687.45,649.15,489.82K,1.72
"Dec 31, 2015",659.7,651.55,664.5,646.27,518.71K,3.07
"Dec 30, 2015",640.02,654.95,654.95,638.08,122.63K,-1.67
"Dec 29, 2015",650.88,649.85,657.8,645,301.50K,0.16
