Date,Price,Open,High,Low,Vol.,Change %
"Apr 21, 2017",479.4,481,486.25,476.55,685.34K,-0.02
"Apr 20, 2017",479.5,474.4,482.25,468.4,1.06M,1.54
"Apr 19, 2017",472.25,473.3,474.9,469.05,737.07K,0.22
"Apr 18, 2017",471.2,477.4,484.65,468.05,921.11K,-2.09
"Apr 17, 2017",481.25,484.4,495.45,476.35,1.89M,-0.6
"Apr 13, 2017",484.15,478,485.95,475.05,410.75K,0.91
"Apr 12, 2017",479.8,485,491.15,473.6,2.04M,-1.43
"Apr 11, 2017",486.75,487,489.2,482.3,1.02M,0.21
"Apr 10, 2017",485.75,484.75,490,483.05,1.44M,0.07
"Apr 07, 2017",485.4,489,492.35,483.6,1.10M,-0.41
"Apr 06, 2017",487.4,490,490.9,483.05,2.00M,-0.88
"Apr 05, 2017",491.75,478,495.55,471,4.81M,7.05
"Apr 03, 2017",459.35,459.5,461.25,455.8,563.93K,-0.73
"Mar 31, 2017",462.75,457.3,466.8,452.55,942.30K,1.19
"Mar 30, 2017",457.3,455,462,453.6,1.33M,0.51
"Mar 29, 2017",455,455,456.55,451.1,502.07K,0.3
"Mar 28, 2017",453.65,450,456,447.85,1.42M,1.27
"Mar 27, 2017",447.95,446,451,440.75,505.76K,0
"Mar 24, 2017",447.95,453.1,457.75,446.95,854.52K,-0.9
"Mar 23, 2017",452,449.6,454,446.15,1.42M,1.4
"Mar 22, 2017",445.75,460,460,441.9,2.03M,-3.87
"Mar 21, 2017",463.7,466.9,466.9,459.6,907.07K,-0.4
"Mar 20, 2017",465.55,465.95,470,461.8,464.42K,0.44
"Mar 17, 2017",463.5,465.95,467.8,459,1.05M,-0.49
"Mar 16, 2017",465.8,463,470.6,462.6,885.73K,0.81
"Mar 15, 2017",462.05,465,467,460.5,1.37M,-0.03
"Mar 14, 2017",462.2,450.05,463.7,447.4,1.87M,3.8
"Mar 10, 2017",445.3,441.25,447.25,440.25,798.92K,0.69
"Mar 09, 2017",442.25,442,447.5,438.05,998.66K,0.29
"Mar 08, 2017",440.95,439,443.7,435.25,727.81K,0.32
"Mar 07, 2017",439.55,440,444.85,434.6,1.12M,0.34
"Mar 06, 2017",438.05,440.7,444,436.2,767.05K,-0.41
"Mar 03, 2017",439.85,430.45,441,428.8,853.99K,2.18
"Mar 02, 2017",430.45,441,446,428,1.15M,-1.76
"Mar 01, 2017",438.15,438.1,442.6,435.65,602.50K,0.22
"Feb 28, 2017",437.2,434.95,439.9,432.65,995.27K,0.42
"Feb 27, 2017",435.35,433,438.55,425.75,891.40K,0.55
"Feb 23, 2017",432.95,440.4,441.6,431,3.74M,-1.6
"Feb 22, 2017",440,457.2,458,438.5,2.54M,-3.78
"Feb 21, 2017",457.3,433.95,458.5,430.1,2.38M,5.26
"Feb 20, 2017",434.45,431.9,438.4,426.45,1.22M,0.68
"Feb 17, 2017",431.5,424,433.8,421.4,1.18M,1.77
"Feb 16, 2017",424,408.55,426,408.55,1.36M,2.8
"Feb 15, 2017",412.45,429.95,431.4,410.5,1.65M,-3.71
"Feb 14, 2017",428.35,429.7,431.85,420.6,860.40K,0
"Feb 13, 2017",428.35,432,432,422.6,725.35K,-0.84
