Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2016",161.25,163.5,164.25,160.6,6.47M,-1.04
"Aug 31, 2016",162.95,164.5,165.7,161.9,8.05M,-0.73
"Aug 30, 2016",164.15,161,164.75,160.55,6.15M,2.56
"Aug 29, 2016",160.05,158.4,160.7,157.1,4.13M,1.11
"Aug 26, 2016",158.3,161.75,163.2,157.6,5.39M,-2.25
"Aug 25, 2016",161.95,163.95,164.8,161.4,10.03M,-0.74
"Aug 24, 2016",163.15,164.3,165.25,162.35,6.77M,-0.7
"Aug 23, 2016",164.3,160.3,165,158.35,15.12M,2.66
"Aug 22, 2016",160.05,160.95,162.35,157.7,8.03M,-0.99
"Aug 19, 2016",161.65,155.95,162.8,155.1,14.27M,4.63
"Aug 18, 2016",154.5,152.15,154.9,151.85,6.55M,2.08
"Aug 17, 2016",151.35,149.5,152.4,149.15,6.67M,1.2
"Aug 16, 2016",149.55,150,151.4,147.1,7.17M,-0.03
"Aug 12, 2016",149.6,147,152.2,144.55,22.29M,2.5
"Aug 11, 2016",145.95,153,153.15,145,38.49M,-9.01
"Aug 10, 2016",160.4,159,161.25,155.35,11.50M,1.23
"Aug 09, 2016",158.45,157.25,160.55,156.3,7.45M,0.6
"Aug 08, 2016",157.5,158.8,159.75,154.65,5.31M,-0.1
"Aug 05, 2016",157.65,157.7,159.7,156.25,8.49M,1.22
"Aug 04, 2016",155.75,151,157.35,146.55,11.94M,4.64
"Aug 03, 2016",148.85,150.5,154.9,148,6.65M,-1.52
"Aug 02, 2016",151.15,148.6,152.4,146.3,9.59M,2.47
"Aug 01, 2016",147.5,153,153.5,146,6.27M,-2.77
"Jul 29, 2016",151.7,154.5,155.1,151.1,4.36M,-1.81
"Jul 28, 2016",154.5,155.15,156.85,153.75,7.89M,-0.23
"Jul 27, 2016",154.85,155,156.65,153.5,4.96M,0.68
"Jul 26, 2016",153.8,156.45,158.75,153.1,6.42M,-1.32
"Jul 25, 2016",155.85,150.5,157.1,148.9,8.44M,3.42
"Jul 22, 2016",150.7,152.4,153,149.5,8.58M,-1.02
"Jul 21, 2016",152.25,158,158.9,151.7,8.79M,-3.36
"Jul 20, 2016",157.55,159,159.35,157.25,5.04M,-0.47
"Jul 19, 2016",158.3,159.5,162.5,156.5,13.97M,-0.47
"Jul 18, 2016",159.05,165,166.55,158.2,6.87M,-3.17
"Jul 15, 2016",164.25,164.9,168.8,163.3,12.82M,0.34
"Jul 14, 2016",163.7,159.1,166.9,159.1,13.35M,2.22
"Jul 13, 2016",160.15,161.05,161.95,158.65,5.98M,-0.37
"Jul 12, 2016",160.75,163.2,165,159.4,11.50M,-0.99
"Jul 11, 2016",162.35,158.1,162.7,157.6,7.97M,4.91
"Jul 08, 2016",154.75,158.15,158.9,153.6,7.19M,-2.15
"Jul 07, 2016",158.15,160,162.15,157.45,5.04M,-0.82
"Jul 05, 2016",159.45,160.45,162.3,158.75,6.25M,-0.22
"Jul 04, 2016",159.8,157.95,161.75,157.5,6.83M,2.04
"Jul 01, 2016",156.6,154.05,157.85,153.65,6.34M,1.72
"Jun 30, 2016",153.95,155.35,155.65,153.5,6.30M,0.03
"Jun 29, 2016",153.9,155,156,153.35,5.91M,-0.32
"Jun 28, 2016",154.4,152.45,155,150.5,9.51M,1.68
"Jun 27, 2016",151.85,146.1,152.6,146.1,8.39M,3.19
"Jun 24, 2016",147.15,144.95,147.95,140.8,14.54M,-3.32
"Jun 23, 2016",152.2,149.9,153.3,149.3,5.69M,2.08
"Jun 22, 2016",149.1,149.55,151.6,148.3,5.70M,-0.53
"Jun 21, 2016",149.9,151.9,152.9,149.05,4.51M,-1.15
"Jun 20, 2016",151.65,147.85,152.6,147.5,9.75M,0.7
"Jun 17, 2016",150.6,152.95,153.2,148.7,7.17M,-0.66
"Jun 16, 2016",151.6,151.25,153.7,148.5,12.05M,-0.13
"Jun 15, 2016",151.8,149.5,153.5,148.2,9.17M,2.02
"Jun 14, 2016",148.8,148,149.5,147.2,6.76M,1.85
"Jun 13, 2016",146.1,144.2,147.5,142.2,5.25M,-0.14
"Jun 10, 2016",146.3,148.3,150.8,145.25,6.78M,-1.85
"Jun 09, 2016",149.05,147.9,151.65,146.65,8.89M,0.74
"Jun 08, 2016",147.95,145.95,149.4,144.25,7.98M,1.75
"Jun 07, 2016",145.4,144.75,146.9,142.9,11.14M,1.36
"Jun 06, 2016",143.45,140.95,144.35,140.25,8.45M,2.32
"Jun 03, 2016",140.2,142,144.45,139.35,9.74M,-0.95
"Jun 02, 2016",141.55,138.45,142.3,137.45,6.80M,2.02
"Jun 01, 2016",138.75,143.3,143.4,137.9,7.56M,-2.84
"May 31, 2016",142.8,138.7,143.45,136.8,8.31M,3.18
"May 30, 2016",138.4,141,141.4,136.5,7.01M,-0.14
"May 27, 2016",138.6,135.9,140.8,134.4,8.70M,2.78
"May 26, 2016",134.85,133.55,136.35,132.5,15.95M,1.24
"May 25, 2016",133.2,131.85,134.2,130.5,9.15M,2.62
"May 24, 2016",129.8,131.25,131.9,128.25,9.15M,-1.52
"May 23, 2016",131.8,135.8,136.4,131.3,11.24M,-2.41
"May 20, 2016",135.05,136.85,138.7,134.5,8.78M,-1.57
"May 19, 2016",137.2,142,142,136.2,10.02M,-3.65
"May 18, 2016",142.4,140,143.6,140,9.62M,0.35
"May 17, 2016",141.9,143.3,144.65,139.7,15.80M,-0.28
"May 16, 2016",142.3,150,150,139.75,37.21M,-8.25
"May 13, 2016",155.1,157.5,157.5,154.1,10.56M,-1.62
"May 12, 2016",157.65,159.75,160.15,155.2,8.08M,0.51
"May 11, 2016",156.85,154.45,158.15,152.8,7.75M,-0.35
"May 10, 2016",157.4,155,158.25,152.4,6.80M,1.45
"May 09, 2016",155.15,152,156.4,150.8,6.47M,3.02
"May 06, 2016",150.6,148.7,152.5,148.55,6.56M,1.28
"May 05, 2016",148.7,149.95,150.95,146.8,7.57M,0.03
"May 04, 2016",148.65,152.55,154.6,148,8.54M,-2.78
"May 03, 2016",152.9,156.25,159.4,152.1,6.03M,-1.67
"May 02, 2016",155.5,157.8,158.5,155.1,4.71M,-1.52
"Apr 29, 2016",157.9,160.6,162.6,152.85,7.90M,-1.65
"Apr 28, 2016",160.55,160.4,163.3,159.2,11.00M,-0.31
"Apr 27, 2016",161.05,161.7,163.35,159.8,5.59M,-0.4
"Apr 26, 2016",161.7,157.45,162.15,156.25,8.57M,2.44
"Apr 25, 2016",157.85,162.25,162.45,156.55,7.20M,-2.53
"Apr 22, 2016",161.95,156.85,163.9,155.4,13.13M,2.66
"Apr 21, 2016",157.75,155,162.3,154.6,18.11M,3.34
"Apr 20, 2016",152.65,148.55,153.7,146.5,8.07M,3.07
"Apr 18, 2016",148.1,151.1,151.9,146.9,5.74M,-2.85
"Apr 13, 2016",152.45,151.85,153.9,151.3,8.68M,2.18
"Apr 12, 2016",149.2,149.7,150.85,148,5.85M,-0.1
"Apr 11, 2016",149.35,143.1,150.1,143.1,7.12M,4.37
"Apr 08, 2016",143.1,143,144.1,141.75,4.02M,-0.21
"Apr 07, 2016",143.4,143.45,146.4,142.15,5.84M,0.03
"Apr 06, 2016",143.35,144.4,144.9,141.6,6.00M,-0.69
"Apr 05, 2016",144.35,150.9,152.3,143.6,13.26M,-4.69
"Apr 04, 2016",151.45,154,154.15,149.65,6.20M,-0.88
"Apr 01, 2016",152.8,145.7,153.5,145.35,12.81M,3.95
"Mar 31, 2016",147,147,149.4,145.25,14.30M,-0.03
"Mar 30, 2016",147.05,142,148.75,140.8,9.15M,4.77
"Mar 29, 2016",140.35,138.35,141.45,137.7,5.58M,1.15
"Mar 28, 2016",138.75,145,145,137.2,8.13M,-3.65
"Mar 23, 2016",144,145.25,145.75,142.85,6.45M,-1.71
"Mar 22, 2016",146.5,147.65,147.8,144.7,4.90M,-0.61
"Mar 21, 2016",147.4,145.65,147.8,144.7,7.22M,2.29
"Mar 18, 2016",144.1,143.45,144.5,141.75,6.69M,1.3
"Mar 17, 2016",142.25,146,146.7,141,10.44M,-0.49
"Mar 16, 2016",142.95,145,146.4,141.2,13.74M,-0.17
"Mar 15, 2016",143.2,142,144,140.8,6.64M,1.6
"Mar 14, 2016",140.95,142.9,143.2,140.4,6.05M,0.18
"Mar 11, 2016",140.7,139,142.2,137.5,7.60M,1.08
"Mar 10, 2016",139.2,144,144.3,138.3,9.99M,-2.69
"Mar 09, 2016",143.05,140,143.4,139.55,18.61M,0.81
"Mar 08, 2016",141.9,143.9,147.45,140.6,14.94M,-4.7
"Mar 04, 2016",148.9,146,150.5,143.6,14.29M,2.41
"Mar 03, 2016",145.4,147.4,147.4,141.2,11.60M,0.1
"Mar 02, 2016",145.25,144.5,152.1,143.1,30.50M,6.76
"Mar 01, 2016",136.05,134.35,136.8,133,13.67M,3.15
"Feb 29, 2016",131.9,133.25,139.2,127.1,26.06M,-0.64
"Feb 26, 2016",132.75,133.75,134.25,126.7,15.31M,2.04
"Feb 25, 2016",130.1,135.35,135.85,129.25,14.42M,-2.69
"Feb 24, 2016",133.7,130.75,136.25,130.05,11.02M,0.56
"Feb 23, 2016",132.95,139,139.25,132.35,8.61M,-4.52
"Feb 22, 2016",139.25,140,141.5,136.65,8.50M,-0.29
"Feb 19, 2016",139.65,136.75,141.85,136.5,11.15M,0.58
"Feb 18, 2016",138.85,141.7,146.25,135.4,21.84M,0.4
"Feb 17, 2016",138.3,131.2,140.45,126.3,27.51M,5.69
"Feb 16, 2016",130.85,140.75,140.75,129.7,27.28M,-6.1
"Feb 15, 2016",139.35,118.5,142.1,118.5,55.79M,22.56
"Feb 12, 2016",113.7,117,117.4,109.35,7.47M,-1.94
"Feb 11, 2016",115.95,115.6,121.6,112.65,17.09M,-0.81
"Feb 10, 2016",116.9,124,124,115.6,11.19M,-5.95
"Feb 09, 2016",124.3,128,131.55,123.55,8.48M,-4.86
"Feb 08, 2016",130.65,127.9,134.7,127.1,9.37M,2.91
"Feb 05, 2016",126.95,123.4,128.05,121.65,5.38M,3.38
"Feb 04, 2016",122.8,123,124.7,120.85,5.96M,1.87
"Feb 03, 2016",120.55,119.4,122.6,116.3,6.88M,-0.33
"Feb 02, 2016",120.95,122.55,127.85,120.1,9.94M,-1.02
"Feb 01, 2016",122.2,125.25,126.85,121.1,5.63M,-2.55
"Jan 29, 2016",125.4,128.8,130.7,122.65,11.99M,-3.65
"Jan 28, 2016",130.15,129.9,132.7,128.35,6.11M,0.12
"Jan 27, 2016",130,128.7,131.4,125.35,8.08M,0.39
"Jan 25, 2016",129.5,132.4,133.15,128.5,5.08M,-0.54
"Jan 22, 2016",130.2,126.3,131.6,126.25,6.66M,4.79
"Jan 21, 2016",124.25,123.55,126.5,121.1,6.58M,2.56
"Jan 20, 2016",121.15,122.8,123,118.05,7.50M,-3.2
"Jan 19, 2016",125.15,127.55,129.2,124.25,6.85M,-0.44
