Date,Price,Open,High,Low,Vol.,Change %
"Apr 19, 2017",63089.25,62350,63300,62150.05,12.09K,0.79
"Apr 18, 2017",62596.1,61950,63099,61600.05,23.54K,1.05
"Apr 17, 2017",61948.55,60720,62158,60311.4,21.46K,2.28
"Apr 13, 2017",60566.55,60530.85,61200,60300,10.62K,0.07
"Apr 12, 2017",60527.1,62010,62199.95,60062.4,20.55K,-2.48
"Apr 11, 2017",62063.4,61179,62200,60901,17.05K,2.13
"Apr 10, 2017",60767.45,61195.7,61382.95,60620,7.63K,-0.44
"Apr 07, 2017",61036.15,60655,61780,60601.1,14.39K,-0.11
"Apr 06, 2017",61104.85,60552,61399,60211,19.00K,0.69
"Apr 05, 2017",60685.45,60993.55,61271.75,60372,12.46K,-0.51
"Apr 03, 2017",60993.55,60935,61386.7,60240,14.26K,0.06
"Mar 31, 2017",60954.45,59550,61220,59550,24.69K,1.89
"Mar 30, 2017",59823.65,59125,60200,59125,19.15K,0.41
"Mar 29, 2017",59578.45,58499.95,59790.8,57801,24.09K,2.17
"Mar 28, 2017",58315.35,59855.45,60300,57947.4,19.85K,-2.63
"Mar 27, 2017",59888.5,59499,60145,59125.2,20.17K,0.98
"Mar 24, 2017",59308.8,59499.9,59650,59001,19.25K,-0.33
"Mar 23, 2017",59507.1,58000,59684.35,57601,36.78K,2.87
"Mar 22, 2017",57849.2,57600,58450,57500,20.75K,-0.34
"Mar 21, 2017",58045.15,56500,58300,55854.3,28.25K,3.62
"Mar 20, 2017",56019.35,56305,57090.65,55801,23.49K,1.07
"Mar 17, 2017",55427.85,56400,56700,54967.65,43.54K,-1.77
"Mar 16, 2017",56425.55,57300,57448.95,56200,15.44K,-0.72
"Mar 15, 2017",56836.6,53381.25,57984,53291.25,82.61K,7.27
"Mar 14, 2017",52983.9,52750,53427.95,52100,18.74K,1.46
"Mar 10, 2017",52220.3,52366,52450,51950,9.19K,0.36
"Mar 09, 2017",52031.35,51500,52366.65,51205,12.20K,0.98
"Mar 08, 2017",51527.8,52260,52372.1,51086.7,9.54K,-1.23
"Mar 07, 2017",52167.9,52282,52565.85,51953.2,6.73K,-0.4
"Mar 06, 2017",52375.55,52398,52500,51951.05,7.60K,0.58
"Mar 03, 2017",52072.85,52300,52630,51713.45,12.54K,0.23
"Mar 02, 2017",51951.6,53185,53362.5,51845,8.86K,-1.64
"Mar 01, 2017",52819.4,51999,53150,51999,13.94K,1.9
"Feb 28, 2017",51835.05,51437.25,52529.9,51370.05,14.97K,0.77
"Feb 27, 2017",51437.15,51650,52029.95,50700,13.97K,-0.12
"Feb 23, 2017",51499.05,49900,51700,49714.75,22.06K,3.48
"Feb 22, 2017",49767.85,50399.95,50600,49577,13.00K,-0.85
"Feb 21, 2017",50195.4,50451,50679.35,50100,4.08K,-0.44
"Feb 20, 2017",50414.75,50100,50595,49950,4.35K,0.62
